Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_35.wiff	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_C1.wiff	V:\MS2020\6600\6600_Data\220308_AmeliaHatfield\SWATH_MTX.wiff
O43813	O43813	LANC1_HUMAN	LANCL1	Glutathione S-transferase LANCL1	65.4959	64.1747	53.1933
O43818	O43818	U3IP2_HUMAN	RRP9	U3 small nucleolar RNA-interacting protein 2	23.091	24.2981	19.2276
O43819	O43819	SCO2_HUMAN	SCO2	Protein SCO2 homolog, mitochondrial	18.9432		
O43837	O43837	IDH3B_HUMAN	IDH3B	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	46.8329	44.8612	47.7949
O43847	O43847	NRDC_HUMAN	NRDC	Nardilysin	43.9176	39.4337	41.4406
O43852	O43852	CALU_HUMAN	CALU	Calumenin	86.0376	66.7413	73.7932
O43865	O43865;Q96HN2	SAHH2_HUMAN	AHCYL1	S-adenosylhomocysteine hydrolase-like protein 1	37.9127	23.6969	31.9416
O43896;O60333;Q12756	O43896;O60333;Q12756	KIF1A_HUMAN;KIF1B_HUMAN;KIF1C_HUMAN	KIF1A;KIF1B;KIF1C	Kinesin-like protein KIF1C	14.5859		1.85458
O43913	O43913	ORC5_HUMAN	ORC5	Origin recognition complex subunit 5	27.4758	9.78448	12.0087
O43920	O43920	NDUS5_HUMAN	NDUFS5	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	17.1421	40.3543	19.841
O43929	O43929	ORC4_HUMAN	ORC4	Origin recognition complex subunit 4			5.19702
O60216	O60216	RAD21_HUMAN	RAD21	Double-strand-break repair protein rad21 homolog	33.0725		8.21711
O60218	O60218	AK1BA_HUMAN	AKR1B10	Aldo-keto reductase family 1 member B10	2.82359	3.51842	5.22201
O60231	O60231	DHX16_HUMAN	DHX16	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	20.384	21.6389	29.8704
O60256	O60256	KPRB_HUMAN	PRPSAP2	Phosphoribosyl pyrophosphate synthase-associated protein 2	40.4982	29.9362	41.3603
O60256;Q14558	Q14558;O60256	KPRA_HUMAN;KPRB_HUMAN	PRPSAP1;PRPSAP2	Phosphoribosyl pyrophosphate synthase-associated protein 2	34.5489	39.6777	34.5584
O60264	P28370;O60264	SMCA5_HUMAN	SMARCA5	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	38.2837	38.0824	38.5944
O60271	O60271;Q9UPT6	JIP4_HUMAN	SPAG9	C-Jun-amino-terminal kinase-interacting protein 4	13.7079	25.8438	24.8346
O60306	O60306	AQR_HUMAN	AQR	RNA helicase aquarius	11.7882	18.6296	12.4144
O60313	O60313	OPA1_HUMAN	OPA1	Dynamin-like 120 kDa protein, mitochondrial	13.022	15.6385	18.2556
O60341	O60341	KDM1A_HUMAN	KDM1A	Lysine-specific histone demethylase 1A	32.0892	24.1438	34.723
O60343	O60343	TBCD4_HUMAN	TBC1D4	TBC1 domain family member 4	8.17902		16.1201
O60488	O60488	ACSL4_HUMAN	ACSL4	Long-chain-fatty-acid--CoA ligase 4	27.2917	33.6818	24.2042
O60488;O95573	O95573;O60488	ACSL3_HUMAN;ACSL4_HUMAN	ACSL3;ACSL4	Long-chain-fatty-acid--CoA ligase 4	95.1536	85.9857	92.225
O60493	O60493	SNX3_HUMAN	SNX3	Sorting nexin-3	52.9047	60.0781	61.7393
O60493;Q9UMY4	Q9UMY4;O60493	SNX12_HUMAN;SNX3_HUMAN	SNX12;SNX3	Sorting nexin-3		20.9246	20.3458
O60502	O60502	OGA_HUMAN	OGA	Protein O-GlcNAcase	37.3528	35.1598	41.3044
O60506	O60506	HNRPQ_HUMAN	SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	439.743	392.254	394.849
O60518	O60518	RNBP6_HUMAN	RANBP6	Ran-binding protein 6	119.416		101.245
O60524	O60524	NEMF_HUMAN	NEMF	Nuclear export mediator factor NEMF	26.8797	23.4309	24.3979
O60568	O60568	PLOD3_HUMAN	PLOD3	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3			35.7935
O60610	O60610	DIAP1_HUMAN	DIAPH1	Protein diaphanous homolog 1	66.0294	62.568	62.7969
O60664	O60664	PLIN3_HUMAN	PLIN3	Perilipin-3	178.225	163.053	201.711
O60678	O60678	ANM3_HUMAN	PRMT3	Protein arginine N-methyltransferase 3	21.3646	39.9776	16.4432
O60684	O60684	IMA7_HUMAN	KPNA6	Importin subunit alpha-7	35.9511	39.6114	35.6222
O60684;P52294	O15131;P52294;O60684	IMA5_HUMAN;IMA7_HUMAN	KPNA1;KPNA6	Importin subunit alpha-7	51.6041	70.4935	69.1203
O60701	O60701	UGDH_HUMAN	UGDH	UDP-glucose 6-dehydrogenase	107.898	91.2507	102.922
O60716	O60716	CTND1_HUMAN	CTNND1	Catenin delta-1	90.909	97.8708	80.363
O60749	O60749	SNX2_HUMAN	SNX2	Sorting nexin-2	57.0247	44.5396	52.5222
O60749;Q13596	Q13596;O60749	SNX1_HUMAN;SNX2_HUMAN	SNX1;SNX2	Sorting nexin-2	60.4152	56.6951	34.3962
O60762	O60762	DPM1_HUMAN	DPM1	Dolichol-phosphate mannosyltransferase subunit 1	67.4483	54.92	54.4522
O60763	O60763	USO1_HUMAN	USO1	General vesicular transport factor p115	76.6434	82.2324	79.0883
O60783	O60783	RT14_HUMAN	MRPS14	28S ribosomal protein S14, mitochondrial	18.9277	15.2074	17.5722
O60814;P57053;P58876;P62807;Q5QNW6;Q8N257;Q93079;Q99877;Q99879;Q99880	Q5QNW6;Q99879;Q99877;Q99880;P62807;P33778;Q16778;O60814;P06899;Q93079;P58876;P57053;Q96A08;P23527;Q8N257	H2B1C_HUMAN;H2B1D_HUMAN;H2B1H_HUMAN;H2B1K_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2B1N_HUMAN;H2B2F_HUMAN;H2B3B_HUMAN;H2BFS_HUMAN	H2BC12;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9;H2BS1;H2BU1	Histone H2B type 1-K	491.636	608.058	547.481
O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879;Q99880	Q5QNW6;Q99879;Q99877;Q99880;P62807;O60814;Q93079;P58876;P57053	H2B1C_HUMAN;H2B1D_HUMAN;H2B1H_HUMAN;H2B1K_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2B1N_HUMAN;H2B2F_HUMAN;H2BFS_HUMAN	H2BC12;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9;H2BS1	Histone H2B type 1-K	82.4107	81.1722	67.6712
O60828	O60828	PQBP1_HUMAN	PQBP1	Polyglutamine-binding protein 1	50.6671	42.3487	37.2054
O60832	O60832	DKC1_HUMAN	DKC1	H/ACA ribonucleoprotein complex subunit DKC1	10.189		5.91736
O60841	O60841	IF2P_HUMAN	EIF5B	Eukaryotic translation initiation factor 5B	81.1346	81.1521	78.9994
O60869	O60869	EDF1_HUMAN	EDF1	Endothelial differentiation-related factor 1	96.5003	106.524	120.638
O60884	O60884	DNJA2_HUMAN	DNAJA2	DnaJ homolog subfamily A member 2	89.2639	98.3648	112.165
O60888	O60888	CUTA_HUMAN	CUTA	Protein CutA			31.11
O60925	O60925	PFD1_HUMAN	PFDN1	Prefoldin subunit 1	34.5689	49.4022	21.9601
O60942	O60942	MCE1_HUMAN	RNGTT	mRNA-capping enzyme	11.1888		17.5507
O75027	O75027	ABCB7_HUMAN	ABCB7	ATP-binding cassette sub-family B member 7, mitochondrial			7.87436
O75044;Q7Z6B7	Q7Z6B7;O75044	SRGP1_HUMAN;SRGP2_HUMAN	SRGAP1;SRGAP2	SLIT-ROBO Rho GTPase-activating protein 2	12.4505	7.06505	7.14443
O75083	O75083	WDR1_HUMAN	WDR1	WD repeat-containing protein 1	293.048	336.088	345.128
O75116	O75116	ROCK2_HUMAN	ROCK2	Rho-associated protein kinase 2	26.4576	23.6669	26.397
O75127	O75127	PTCD1_HUMAN	PTCD1	Pentatricopeptide repeat-containing protein 1, mitochondrial			10.5839
O75131	O75131	CPNE3_HUMAN	CPNE3	Copine-3	155.358	167.478	179.696
O75131;Q9UBL6	O75131;O95741;Q8IYJ1;Q9HCH3;Q86YQ8;Q9UBL6;Q96A23;Q96FN4	CPNE3_HUMAN;CPNE7_HUMAN	CPNE3;CPNE7	Copine-3	180.599	163.79	142.245
O75146	O75146	HIP1R_HUMAN	HIP1R	Huntingtin-interacting protein 1-related protein	15.0607	42.3666	32.6947
O75150	O75150	BRE1B_HUMAN	RNF40	E3 ubiquitin-protein ligase BRE1B	20.0442	19.6246	23.1915
O75150;Q5VTR2	O75150;Q5VTR2	BRE1A_HUMAN;BRE1B_HUMAN	RNF20;RNF40	E3 ubiquitin-protein ligase BRE1B	12.189	17.0634	20.4143
O75153	O75153	CLU_HUMAN	CLUH	Clustered mitochondria protein homolog	83.9798	84.7825	76.2574
O75165	O75165	DJC13_HUMAN	DNAJC13	DnaJ homolog subfamily C member 13		3.70525	6.1192
O75175	O75175	CNOT3_HUMAN	CNOT3	CCR4-NOT transcription complex subunit 3	27.7358		4.90839
O75179	O75179	ANR17_HUMAN	ANKRD17	Ankyrin repeat domain-containing protein 17			8.28075
O75179;Q8IWZ3	Q8IWZ3;O75179	ANKH1_HUMAN;ANR17_HUMAN	ANKHD1;ANKRD17	Ankyrin repeat domain-containing protein 17	16.9072	11.278	26.1542
O75190	P25686;O75190;Q8NHS0	DNJB6_HUMAN	DNAJB6	DnaJ homolog subfamily B member 6	28.3676		22.4212
O75223	O75223	GGCT_HUMAN	GGCT	Gamma-glutamylcyclotransferase	63.2783	56.5535	67.6746
O75251	O75251	NDUS7_HUMAN	NDUFS7	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial	43.4617	39.4354	45.6293
O75306	O75306	NDUS2_HUMAN	NDUFS2	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial	341.002	268.419	356.544
O75312	O75312	ZPR1_HUMAN	ZPR1	Zinc finger protein ZPR1	28.7862	20.4474	27.304
O75323	O75323	NIPS2_HUMAN	NIPSNAP2	Protein NipSnap homolog 2	52.8553	40.6374	37.8087
O75323;Q9BPW8	Q9BPW8;O75323	NIPS1_HUMAN;NIPS2_HUMAN	NIPSNAP1;NIPSNAP2	Protein NipSnap homolog 2	14.9978		9.95286
O75330	O75330	HMMR_HUMAN	HMMR	Hyaluronan mediated motility receptor	16.5471		
O75340	O75340	PDCD6_HUMAN	PDCD6	Programmed cell death protein 6	58.5225	73.191	64.325
O75347	O75347	TBCA_HUMAN	TBCA	Tubulin-specific chaperone A	217.609	198.071	216.23
O75348	O75348	VATG1_HUMAN	ATP6V1G1	V-type proton ATPase subunit G 1	36.9662	40.9306	31.5925
O75351	O75351	VPS4B_HUMAN	VPS4B	Vacuolar protein sorting-associated protein 4B	50.9434	47.4783	40.2964
O75351;Q9UN37	Q9UN37;O75351;Q6PIW4	VPS4A_HUMAN;VPS4B_HUMAN	VPS4A;VPS4B	Vacuolar protein sorting-associated protein 4B	101.023	93.252	109.139
O75352	O75352	MPU1_HUMAN	MPDU1	Mannose-P-dolichol utilization defect 1 protein	34.5713	14.5528	28.2251
O75368	O75368	SH3L1_HUMAN	SH3BGRL	SH3 domain-binding glutamic acid-rich-like protein	12.078	15.0659	21.6087
O75369	O75369	FLNB_HUMAN	FLNB	Filamin-B	80.9722	81.9966	92.2439
O75369;P21333;Q14315	Q14315;P21333;O75369	FLNA_HUMAN;FLNB_HUMAN;FLNC_HUMAN	FLNA;FLNB;FLNC	Filamin-B	152.916	164.744	176.259
O75369;Q14315	Q14315;O75369	FLNB_HUMAN;FLNC_HUMAN	FLNB;FLNC	Filamin-B	48.2	35.1179	22.2607
O75380	O75380	NDUS6_HUMAN	NDUFS6	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial	7.57761	16.2946	16.5633
O75381	O75381	PEX14_HUMAN	PEX14	Peroxisomal membrane protein PEX14	15.0783	24.5965	22.041
O75390	O75390	CISY_HUMAN	CS	Citrate synthase, mitochondrial	324.221	294.505	322.194
O75391	O75391	SPAG7_HUMAN	SPAG7	Sperm-associated antigen 7	16.0809	13.0424	16.6617
O75394	O75394	RM33_HUMAN	MRPL33	39S ribosomal protein L33, mitochondrial		9.38166	14.5726
O75396	O75396	SC22B_HUMAN	SEC22B	Vesicle-trafficking protein SEC22b	40.8609	50.904	38.3391
O75400	O75400	PR40A_HUMAN	PRPF40A	Pre-mRNA-processing factor 40 homolog A	37.0103	45.2934	39.108
O75431	O75431	MTX2_HUMAN	MTX2	Metaxin-2	20.5594	33.0306	46.8701
O75436	O75436	VP26A_HUMAN	VPS26A	Vacuolar protein sorting-associated protein 26A	188.729	138.761	175.705
O75439	O75439	MPPB_HUMAN	PMPCB	Mitochondrial-processing peptidase subunit beta	62.827	70.5384	66.9877
O75439;P31930	O75439;P31930	MPPB_HUMAN;QCR1_HUMAN	PMPCB;UQCRC1	Mitochondrial-processing peptidase subunit beta	67.299		
O75467;Q6AW86	Q6AW86;O75467	Z324A_HUMAN;Z324B_HUMAN	ZNF324;ZNF324B	Zinc finger protein 324A	181.124		
O75475	O75475	PSIP1_HUMAN	PSIP1	PC4 and SFRS1-interacting protein	30.75	26.7814	23.6011
O75475;P51858;Q7Z4V5	Q7Z4V5;O75475;P51858;Q9Y3E1	HDGF_HUMAN;HDGR2_HUMAN;PSIP1_HUMAN	HDGF;HDGFL2;PSIP1	PC4 and SFRS1-interacting protein	55.8846	66.8226	77.5937
O75477	O75477	ERLN1_HUMAN	ERLIN1	Erlin-1	76.7516	73.4696	72.9634
O75477;O94905	O94905;O75477	ERLN1_HUMAN;ERLN2_HUMAN	ERLIN1;ERLIN2	Erlin-1	81.3528	57.4216	63.5057
O75489	O75489	NDUS3_HUMAN	NDUFS3	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	65.7003	83.352	53.6397
O75494	O75494	SRS10_HUMAN	SRSF10	Serine/arginine-rich splicing factor 10		23.8979	18.5879
O75521	O75521	ECI2_HUMAN	ECI2	Enoyl-CoA delta isomerase 2	9.42673	7.76418	8.19171
O75526	O75526;P38159	RMXL2_HUMAN	RBMXL2	RNA-binding motif protein, X-linked-like-2		29.0799	26.3157
O75533	O75533	SF3B1_HUMAN	SF3B1	Splicing factor 3B subunit 1	74.1427	66.0682	84.1304
O75534	O75534	CSDE1_HUMAN	CSDE1	Cold shock domain-containing protein E1	124.219	114.021	125.596
O75554	O75554	WBP4_HUMAN	WBP4	WW domain-binding protein 4	8.56797	8.93051	12.1491
O75569	O75569	PRKRA_HUMAN	PRKRA	Interferon-inducible double-stranded RNA-dependent protein kinase activator A	11.5362	5.67755	10.5696
O75600	O75600	KBL_HUMAN	GCAT	2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial	3.58875		
O75607	O75607	NPM3_HUMAN	NPM3	Nucleoplasmin-3	95.2119	114.03	92.2822
O75608	O75608	LYPA1_HUMAN	LYPLA1	Acyl-protein thioesterase 1	62.0929	67.9702	74.1746
O75616	O75616	ERAL1_HUMAN	ERAL1	GTPase Era, mitochondrial		15.4259	20.1705
O75643	O75643	U520_HUMAN	SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase	59.7138	71.9728	55.3892
O75663	O75663	TIPRL_HUMAN	TIPRL	TIP41-like protein	18.7348		30.9476
O75676	O75676	KS6A4_HUMAN	RPS6KA4	Ribosomal protein S6 kinase alpha-4	7.42646		14.2108
O75688	O75688;P35813	PPM1B_HUMAN	PPM1B	Protein phosphatase 1B	24.2163	23.0315	27.4022
O75694	O75694	NU155_HUMAN	NUP155	Nuclear pore complex protein Nup155	36.369	39.0876	38.6445
O75717	O75717	WDHD1_HUMAN	WDHD1	WD repeat and HMG-box DNA-binding protein 1	12.9893		18.4205
O75746	O75746	CMC1_HUMAN	SLC25A12	Calcium-binding mitochondrial carrier protein Aralar1	13.8334	20.1349	6.39135
O75746;Q9UJS0	O75746;Q9UJS0	CMC1_HUMAN;CMC2_HUMAN	SLC25A12;SLC25A13	Calcium-binding mitochondrial carrier protein Aralar1	41.3487	28.0786	33.1892
O75794	O75794	CD123_HUMAN	CDC123	Cell division cycle protein 123 homolog	46.8439	44.6313	25.2427
O75817	O75817	POP7_HUMAN	POP7	Ribonuclease P protein subunit p20			26.7924
O75818	O75818	RPP40_HUMAN	RPP40	Ribonuclease P protein subunit p40			11.7744
O75821	O75821	EIF3G_HUMAN	EIF3G	Eukaryotic translation initiation factor 3 subunit G	136.782	102.077	111.962
O75822	O75822	EIF3J_HUMAN	EIF3J	Eukaryotic translation initiation factor 3 subunit J	33.9198	24.146	24.5772
O75832	O75832	PSD10_HUMAN	PSMD10	26S proteasome non-ATPase regulatory subunit 10			13.389
O75844	O75844	FACE1_HUMAN	ZMPSTE24	CAAX prenyl protease 1 homolog	43.4532	54.4349	34.3568
O75874	O75874	IDHC_HUMAN	IDH1	Isocitrate dehydrogenase [NADP] cytoplasmic	82.1436	73.8927	81.86
O75874;P48735	O75874;P48735	IDHC_HUMAN;IDHP_HUMAN	IDH1;IDH2	Isocitrate dehydrogenase [NADP] cytoplasmic	105.381	87.6125	89.9222
O75880	O75880	SCO1_HUMAN	SCO1	Protein SCO1 homolog, mitochondrial	67.1331	58.3181	67.9917
O75886	O75886	STAM2_HUMAN	STAM2	Signal transducing adapter molecule 2	12.9905		15.9303
O75915	O75915	PRAF3_HUMAN	ARL6IP5	PRA1 family protein 3	43.1162	31.8625	40.477
O75925;O75928	O75925;O75928	PIAS1_HUMAN;PIAS2_HUMAN	PIAS1;PIAS2	E3 SUMO-protein ligase PIAS1			9.54713
O75935	O75935	DCTN3_HUMAN	DCTN3	Dynactin subunit 3			21.5624
O75937	O75937	DNJC8_HUMAN	DNAJC8	DnaJ homolog subfamily C member 8	108.752	114.43	101.117
O75940	O75940	SPF30_HUMAN	SMNDC1	Survival of motor neuron-related-splicing factor 30	55.7128	47.8161	54.8424
O75947	O75947	ATP5H_HUMAN	ATP5PD	ATP synthase subunit d, mitochondrial	98.471	122.048	132.163
O75964	O75964	ATP5L_HUMAN	ATP5MG	ATP synthase subunit g, mitochondrial	426.937	398.247	389.216
O75976	O75976	CBPD_HUMAN	CPD	Carboxypeptidase D	34.5071	14.7363	25.76
O76003	O76003	GLRX3_HUMAN	GLRX3	Glutaredoxin-3	92.3326	99.2605	83.9588
O76021	O76021	RL1D1_HUMAN	RSL1D1	Ribosomal L1 domain-containing protein 1	14.4003	11.9837	6.41794
O76031	O76031	CLPX_HUMAN	CLPX	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial	34.5542	39.7624	38.1134
O76071	O76071	CIAO1_HUMAN	CIAO1	Probable cytosolic iron-sulfur protein assembly protein CIAO1	42.0194	46.1675	41.7883
O76094	O76094	SRP72_HUMAN	SRP72	Signal recognition particle subunit SRP72	51.5412	55.5362	60.4286
O94760	O94760	DDAH1_HUMAN	DDAH1	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1	4.99204		27.9334
O94760;O95865	O94760;O95865	DDAH1_HUMAN;DDAH2_HUMAN	DDAH1;DDAH2	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1			15.2535
O94763	O94763	RMP_HUMAN	URI1	Unconventional prefoldin RPB5 interactor 1		14.0136	12.4318
O94766	O94766	B3GA3_HUMAN	B3GAT3	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3			11.0808
O94776	O94776	MTA2_HUMAN	MTA2	Metastasis-associated protein MTA2	61.3028	55.6661	62.2598
O94776;Q13330	O94776;Q13330;Q9BTC8	MTA1_HUMAN;MTA2_HUMAN	MTA1;MTA2	Metastasis-associated protein MTA2	12.0683	8.90614	17.0816
O94782	O94782	UBP1_HUMAN	USP1	Ubiquitin carboxyl-terminal hydrolase 1			21.8787
O94804	O94804	STK10_HUMAN	STK10	Serine/threonine-protein kinase 10	13.0426		11.5365
O94804;Q9H2G2	Q9H2G2;O94804	SLK_HUMAN;STK10_HUMAN	SLK;STK10	Serine/threonine-protein kinase 10	5.33598		6.66488
O94826	O94826	TOM70_HUMAN	TOMM70	Mitochondrial import receptor subunit TOM70	60.7034	55.6578	62.7778
O94855	O94855	SC24D_HUMAN	SEC24D	Protein transport protein Sec24D			15.2037
O94874	O94874	UFL1_HUMAN	UFL1	E3 UFM1-protein ligase 1	32.2535	27.2645	34.1433
O94888	O94888	UBXN7_HUMAN	UBXN7	UBX domain-containing protein 7	24.6714		
O94903	O94903	PLPHP_HUMAN	PLPBP	Pyridoxal phosphate homeostasis protein	41.0294	40.2059	40.2163
O94905	O94905	ERLN2_HUMAN	ERLIN2	Erlin-2		24.3778	21.05
O94906	O94906	PRP6_HUMAN	PRPF6	Pre-mRNA-processing factor 6	37.6158	37.5583	29.8597
O94907	O94907	DKK1_HUMAN	DKK1	Dickkopf-related protein 1	25.5489	24.4783	19.8196
O94919	O94919	ENDD1_HUMAN	ENDOD1	Endonuclease domain-containing 1 protein	11.2815	10.3566	12.7398
O94925	O94925	GLSK_HUMAN	GLS	Glutaminase kidney isoform, mitochondrial	29.2761	26.6992	32.7729
O94966	O94966	UBP19_HUMAN	USP19	Ubiquitin carboxyl-terminal hydrolase 19	32.6624		35.823
O94973	O94973	AP2A2_HUMAN	AP2A2	AP-2 complex subunit alpha-2	23.362	21.9307	27.7659
O94973;O95782	O95782;O94973	AP2A1_HUMAN;AP2A2_HUMAN	AP2A1;AP2A2	AP-2 complex subunit alpha-2	24.3541	27.6461	17.067
O94979	O94979	SC31A_HUMAN	SEC31A	Protein transport protein Sec31A	35.0761	29.196	27.7375
O94992	O94992	HEXI1_HUMAN	HEXIM1	Protein HEXIM1	13.5744	19.6058	25.1979
O95059	O95059	RPP14_HUMAN	RPP14	Ribonuclease P protein subunit p14		24.0383	12.732
O95071	O95071	UBR5_HUMAN	UBR5	E3 ubiquitin-protein ligase UBR5	11.9736	12.2814	14.4154
O95104	O95104;Q9UPN6	SCAF4_HUMAN	SCAF4	SR-related and CTD-associated factor 4	13.9988	16.8626	19.1511
O95140	O95140	MFN2_HUMAN	MFN2	Mitofusin-2	12.8676		11.2959
O95149	O95149	SPN1_HUMAN	SNUPN	Snurportin-1	11.1588		10.4222
O95155	O95155	UBE4B_HUMAN	UBE4B	Ubiquitin conjugation factor E4 B			7.09819
O95159	O95159	ZFPL1_HUMAN	ZFPL1	Zinc finger protein-like 1	13.7012	22.7444	23.7633
O95163	O95163	ELP1_HUMAN	ELP1	Elongator complex protein 1	22.0006	27.4447	21.7312
O95168	O95168	NDUB4_HUMAN	NDUFB4	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	66.463	42.1508	51.1287
O95182	O95182	NDUA7_HUMAN	NDUFA7	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7			10.7723
O95197	O95197	RTN3_HUMAN	RTN3	Reticulon-3	15.4198	8.83535	14.8707
O95202	O95202	LETM1_HUMAN	LETM1	Mitochondrial proton/calcium exchanger protein	131.925	134.028	124.992
O95218	O95218	ZRAB2_HUMAN	ZRANB2	Zinc finger Ran-binding domain-containing protein 2	16.5166	30.1934	29.5835
O95232	O95232	LC7L3_HUMAN	LUC7L3	Luc7-like protein 3	37.5798	38.2323	41.0084
O95239	O95239;Q2VIQ3	KIF4A_HUMAN	KIF4A	Chromosome-associated kinesin KIF4A	19.4156	19.7523	16.2034
O95292	O95292	VAPB_HUMAN	VAPB	Vesicle-associated membrane protein-associated protein B/C	34.1647	37.4221	46.1901
O95292;Q9P0L0	O95292;Q9P0L0	VAPA_HUMAN;VAPB_HUMAN	VAPA;VAPB	Vesicle-associated membrane protein-associated protein B/C	61.5224	50.128	45.0546
O95299	O95299	NDUAA_HUMAN	NDUFA10	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	33.1789	31.4229	39.6506
O95302	O95302	FKBP9_HUMAN	FKBP9	Peptidyl-prolyl cis-trans isomerase FKBP9	8.21539	17.9062	19.9592
O95336	O95336	6PGL_HUMAN	PGLS	6-phosphogluconolactonase	33.6982	35.7079	53.8999
O95347	O95347	SMC2_HUMAN	SMC2	Structural maintenance of chromosomes protein 2	39.1745	43.2815	31.3849
O95372	O95372	LYPA2_HUMAN	LYPLA2	Acyl-protein thioesterase 2	39.8255	34.0722	51.2574
O95373	O95373	IPO7_HUMAN	IPO7	Importin-7	136.854	105.723	91.7023
O95376	O95376	ARI2_HUMAN	ARIH2	E3 ubiquitin-protein ligase ARIH2	7.91734		13.2075
O95394	O95394	AGM1_HUMAN	PGM3	Phosphoacetylglucosamine mutase	26.6476	32.893	23.3015
O95400	O95400	CD2B2_HUMAN	CD2BP2	CD2 antigen cytoplasmic tail-binding protein 2	30.6948	32.0708	29.9301
O95433	O95433	AHSA1_HUMAN	AHSA1	Activator of 90 kDa heat shock protein ATPase homolog 1	238.194	207.798	217.145
O95456	O95456	PSMG1_HUMAN	PSMG1	Proteasome assembly chaperone 1	105.437	83.0277	44.5312
O95470	O95470	SGPL1_HUMAN	SGPL1	Sphingosine-1-phosphate lyase 1	18.7319	14.334	23.23
O95471	O95471	CLD7_HUMAN	CLDN7	Claudin-7	20.6667	24.0396	18.1843
O95486	O95486	SC24A_HUMAN	SEC24A	Protein transport protein Sec24A	23.6903	12.748	20.2807
O95487	O95487	SC24B_HUMAN	SEC24B	Protein transport protein Sec24B	34.9801		40.375
O95528	O95528	GTR10_HUMAN	SLC2A10	Solute carrier family 2, facilitated glucose transporter member 10	39.3532		35.0098
O95551	O95551	TYDP2_HUMAN	TDP2	Tyrosyl-DNA phosphodiesterase 2	24.7129		22.5614
O95563	O95563	MPC2_HUMAN	MPC2	Mitochondrial pyruvate carrier 2			15.3761
O95571	O95571	ETHE1_HUMAN	ETHE1	Persulfide dioxygenase ETHE1, mitochondrial	56.2771	51.3272	58.1657
O95573	O95573	ACSL3_HUMAN	ACSL3	Long-chain-fatty-acid--CoA ligase 3	52.5054	61.3098	56.4077
O95613	O95613	PCNT_HUMAN	PCNT	Pericentrin	173.638		14.0113
O95630	O95630	STABP_HUMAN	STAMBP	STAM-binding protein	24.4264		10.6835
O95671	O95671	ASML_HUMAN	ASMTL	Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein	21.5395	16.7893	26.6124
O95721	O95721	SNP29_HUMAN	SNAP29	Synaptosomal-associated protein 29	12.8096	23.2409	20.4409
O95747	O95747	OXSR1_HUMAN	OXSR1	Serine/threonine-protein kinase OSR1	29.7087	29.894	22.1387
O95757	O95757	HS74L_HUMAN	HSPA4L	Heat shock 70 kDa protein 4L	54.7493	67.2841	74.422
O95757;P34932	P34932;O95757	HS74L_HUMAN;HSP74_HUMAN	HSPA4;HSPA4L	Heat shock 70 kDa protein 4L	34.6289	37.1643	40.9108
O95757;P34932;Q92598	P34932;Q92598;O95757	HS105_HUMAN;HS74L_HUMAN;HSP74_HUMAN	HSPA4;HSPA4L;HSPH1	Heat shock 70 kDa protein 4L	283.235	372.273	494.474
O95757;Q92598	Q92598;O95757	HS105_HUMAN;HS74L_HUMAN	HSPA4L;HSPH1	Heat shock 70 kDa protein 4L	196.281	214.311	197.104
O95758	O95758	PTBP3_HUMAN	PTBP3	Polypyrimidine tract-binding protein 3			11.0626
O95782	O95782	AP2A1_HUMAN	AP2A1	AP-2 complex subunit alpha-1	58.6139	63.4592	61.4373
O95793	O95793	STAU1_HUMAN	STAU1	Double-stranded RNA-binding protein Staufen homolog 1	50.1545	39.3866	40.3423
